id,title,description,suburb,postcode,latitude,longitude,posting_date,price,extraction_date
6991657294,"electrician and air conditioning for Ladies only elmore rochy, rochester",35 YO fit male offering to repair or install heaters or air conditioners (obviously you supply the unit)downlights or anything electrical!can travelcan also do lights or plugs / sockets / horse arena lightingi can also do small home repairsmessage O48463O769wire up sheds or carportslately have installed alot of custom pendant lights in kitchens and bathrooms.send us a message on here and look forward to hearing from youthankyouhave all acceptable licencesam often in and around rochy / elmore.!,rochester,,-36.3667,144.7,less than a week ago,,2025-07-04
7071618552,"Wanted Electrician, Electrical Contractor. Brisbane, brisbane","We are a Telecommunications and Cabling Business. Mostly Residential and Commercial.Very Experienced in Tv, Antenna, Wall Mounting, Data, Security, MATV and more. The business is long established, and has a fairly high google reviews rating.Looking for a Qualified Electrician, for our Electrical Work, also to work with our Mature Age Apprentice, who is experienced and qualified in telecommunications, now going back next year to finish his electrical training.Can you help us install basic electrical, Ceiling Fans, Air Cons, GPO's and most residential works. We also get some electrical repairs for our cabling business.Lots of work, large customer base, experienced in marketing and quotes.Based in Brisbane = southern Suburbs, but we work all brisbane,gold coast, and surrounds.Please send your details through.0416518855",brisbane,4114,-27.6372,153.103,a week ago,,2025-07-04
6982859016,"Saskia needs help! Gardener, Electrician, Mechanic.., Marrara","I need help sorting out a backyard, getting power points to work again, changing a fan, getting a 1997 Ford sedan registered... Easy type of work if you can do it. It would be handy if you had a ute and a trailer and a pole saw...Don't waste my time ringing from outside the Darwin area.Plenty of refreshments provided for a good job done.",Marrara,0812,-12.397,130.891,a week ago,,2025-07-04
7417735869,"Tradies Wanted – Plumbers, Electricians, Handymen & More – Join, Bexley North","Tradies WantedIn demand - Plumbers, Cleaners, Electricians, Painters, Handymen, Gardeners, Landscapers, Roofers, Tilers and moreTo access, sign up to Workspo - a new platform where real estate agents and Strata managers postjobs. Launching in a few weeks. We have a few more spots we need to fill.Free to join! You only pay a small commission after you’ve completed a job and been paid.Click onto website:www.workspo.com.auScroll down and click - “Become a Tasker”Feel free to ask questions",Bexley North,2207,-33.95,151.117,less than a month ago,,2025-07-04
6874905489,gay electrician in Keysborough (nsfw),"Electrician for hire, happens to be gay (as well as employee) open to working naked etc.",Keysborough,3173,-38.0167,145.167,less than a month ago,,2025-07-04
7060240874,"Residential Smoke Alarm Electrician Sydney, Rozelle","Secure ElectricalYour Trusted Smoke Alarm Experts in SydneyProblems with Your Smoke Alarm? We Can Help!Call Ian directly through the website for fast, professional service.Why Choose Secure Electrical?Expertise You Can Trust: With 20 years of local experience in Sydney, Ian understands your needs and ensures the job is done right the first time.We can help with residential smoke alarm replacements to emergencyservices, such as residential electrical faults and fault finding. We can handle for you, worry free.Top-Quality Brands: We use only the best brands like PSA, PDL, HPM, Clipsal, Brooks, First Alert, and Quell.Certified and Compliant: We provide legal certificates of compliance for all work done, ensuring your home meets NSW safety standards.Our Services Include:Smoke Alarm Replacement & RepairsSame Day Emergency ServiceInstallation of Hard Wired & Interconnected Smoke AlarmsPhotoelectric Smoke DetectorsSmoke Detector Re-WiresFire Alarm Faults and RepairsSmoke Alarm Testing, Installation and CertificationGeneral Electrical Repairs and InstallationsConcerned About Your Alarms?If your smoke, heat, or carbon monoxide alarms are old, yellowing, or not sounding when triggered, it’s time for a check-up. We use top-quality, reliable alarms and ensure they are compliant with NSW Fire & Rescue recommendations.Service Areas:We proudly serve the Inner West, Northern Districts, and North Shore of Sydney, ensuring quick and efficient service.Inner West: Abbotsford, Alexandria,Annandale,Ashfield, Balmain, and more. Northern Districts: Chatswood, Cremorne, Eastwood, Epping, and more. North Shore: Chatswood, Gordon, Lane Cove, Mosman, and more.Contact Us Today!For reliable smoke alarm services and more, visit our website for more info!https://www.secure-electrical.com.a …Secure Electrical is here to keep your home safe and compliant.Secure Electrical – Fast, Professional, Reliable.",Rozelle,2039,-33.865,151.173,less than a month ago,,2025-07-04
7392440616,Melbourne professional electrician provides reliable electrical,"Residential ElectricalServices: Lighting, power points (outlets), circuit faults, appliance connections, smoke alarms, ceiling fans, basic low-voltage wiring.Commercial Electrical Services: Office lighting, power equipment, distribution systems, basic security system power.Emergency Electrical Services: Power outages, short circuits with smoke, dealing with electrical leaks (earth faults).Specific Appliance Electrical Repairs: Electric water heaters, air conditioner electrical components, stove/oven electrical components.Covering all Melbourne Metropolitan Areas: No matter which suburb you're in, we can arrive quickly.24/7 Emergency Service: Available around the clock to resolve your urgent electrical issues.Experienced: Many years of industry experience, skilled technicians, trustworthy service.Free Photo Quote: Convenient and fast, understand initial costs without leaving your home.",Melbourne,,-37.8143,144.963,less than a month ago,,2025-07-04
,,,,,,,,,2025-07-04
7260628523,"Brisbane Electrician - Brisbane Electrical Contractors, Augustine Heights","Crusader Electrical is your trusted Brisbane electrician, committed to delivering quality electricalservicesacross the region. As a family-owned business, we understand and recognise your residential electrical needs and are committed to providing the highest quality service, with our expertise and using only the best materials and equipment available. Building strong client relationships is our top priority, so we ensure you’re kept informed at every step of the process.At Crusader Electrical, we provide the following residential electrical services:Home Electrical InstallationEmergency Electrical RepairsElectrical Switchboard UpgradesElectrical RenovationsSmoke Alarm InspectionsWhether that project is big or small, trust Crusader Electrical to deliver exceptional service and high-quality results.  Needing a licensed Brisbane electrician?  Call us at 04 7841 7639 and we'll send one of our members to your location.",Augustine Heights,4300,-27.6597,152.88,less than a month ago,,2025-07-04
6963942542,"handyman located north of shepparton electrician and air con, Invergordon",split system heat / cool install from $500offering to repair or install heaters or air conditioners (obviously you supply the unit)ulocated shepparton but can travecan also do lights or plugs / sockets / horse arena lightingi can also do small home repairsmessage O48463O769wire up sheds or carportslately have installed alot of custom pendant lights in kitchens and bathrooms.am often in tatura andseymour.send us a message on here and look forward to hearing from youthankyouhave all acceptable licenceslocated northen shepparton areathankyou,Invergordon,,-36.1667,145.583,less than a month ago,,2025-07-04
